Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean"
1985,3125009.288,1587032.389,1537976.899,,,971584.9924,84902.36445,876592.7557,,10089.87227,,5619499.683,3929447.336,21877.28667,515.5268172,,4.899122272,,510.6276949,21361.75985,21080.21362,281.5462292,,82108.41992,1586066.64,123782.2457,,94095.98058,3454.944661,26231.32041,137263.6825,137263.6825
1986,3123936.802,1543224.404,1580712.398,,,971873.4053,81787.98694,879800.3699,,10285.04844,,5615286.478,3941004.943,22663.08538,1348.473873,,4.899122272,,1343.574751,21314.61151,21033.57711,281.0343987,,81650.76981,1569967.679,130895.9931,,101255.4005,4587.240516,25053.3521,135147.9722,135147.9722
1987,3130146.545,1514650.041,1615496.504,,,974213.63,79158.65895,884572.8302,,10482.14085,,5622176.855,4029916.515,17266.37779,1966.50566,7.285792249,,,1959.219868,15299.87213,15008.8078,291.064324,,87390.28058,1487603.682,132586.441,,103328.7382,4965.299369,24292.40338,118017.2644,118017.2644
1988,3095640.358,1460573.2,1635067.158,,,974141.4505,77623.02334,885939.7143,,10578.71285,,5655263.679,4126751.343,13832.54597,1574.006348,8.302943915,0.844503955,,1564.8589,12258.53962,12055.74938,202.7902429,,119323.7087,1395356.081,135474.8087,,106472.9295,5240.54349,23761.33571,116620.4391,116620.4391
1989,3089447.535,1433838.589,1655608.946,,,971196.0704,76203.13831,884309.6019,,10683.33019,,5661946.002,4152941.468,13497.12023,1885.41925,12.36807076,0.844503955,,1872.206676,11611.70098,11448.26514,163.4358325,,121385.7033,1374121.71,137880.0181,,109414.7343,5518.074564,22947.20918,116671.0254,116671.0254
1990,3082976.999,1422943.376,1660033.623,,,970654.0616,75495.35812,884471.1146,,10687.58893,,5664794.319,4188559.694,11886.48243,1638.666803,19.3971859,0.844503955,,1618.425113,10247.81563,10074.67033,173.1453012,,127368.768,1336979.375,141281.2917,,112488.714,5608.994858,23183.5829,117433.9785,117433.9785
1991,3058485.711,1408611.087,1649874.624,,,964100.6864,74880.3016,878496.1731,,10724.21171,,5672797.054,4190693.604,10978.59792,1158.236093,19.06060172,2.523029333,,1136.652462,9820.361831,9560.903734,259.4580971,,160847.2073,1310277.645,142828.4263,,114714.216,5665.930284,22448.27993,138928.6022,138928.6022
1992,3042154.104,1389422.602,1652731.502,,,965572.967,74212.22467,880684.6946,,10676.04775,,5682468.126,4171311.932,10370.59935,1198.839222,11.69479897,2.523029333,,1184.621394,9171.76013,8928.176358,243.5837719,,169450.0687,1331335.525,147213.2867,,117935.393,6011.557947,23266.33572,139731.9113,139731.9113
1993,3008093.744,1363259.304,1644834.44,,,964880.1915,73733.50736,880526.2139,,10620.47024,,5716926.092,4176735.446,10937.73004,1354.411275,4.994908685,6.573507501,,1342.842859,9583.318761,9362.059143,221.259618,,192596.1353,1336656.781,149381.9359,,120022.4188,6353.424353,23006.09272,137858.516,137858.516
1994,3006108.098,1355126.587,1650981.512,,,962993.4536,73126.17889,879226.3391,,10640.93562,,5721037.136,4210535.591,11536.22074,1585.039356,6.772760205,28.67755447,,1549.589041,9951.181382,9841.875605,109.3057771,,203386.7129,1295578.611,150910.141,,121433.3456,6550.050729,22926.74472,136091.736,136091.736
1995,2988215.543,1337931.836,1650283.707,,,960561.3565,72110.81266,877807.6655,,10642.87835,,5740034.884,4181363.8,13105.44862,2314.265258,3.894324066,82.16848599,,2228.202447,10791.18336,10745.39562,45.78773654,,213056.1048,1332509.53,153387.6642,,123382.4994,6741.063242,23264.10151,134941.0323,134941.0323
1996,2982010.778,1334154.33,1647856.447,,,967861.97,71529.62972,885748.5164,,10583.82383,,5746060.373,4159741.305,14853.14894,2453.921254,,139.5178133,,2314.40344,12399.22768,12211.76319,187.4644889,,217941.83,1353524.09,153556.5411,,124884.7508,6849.608662,21822.18162,127651.073,127651.073
1997,2962325.756,1319771.117,1642554.639,,,968351.3709,71129.37288,886679.3887,,10542.60927,,5754934.089,4161127.047,15261.85027,2686.36809,,190.4501161,,2495.917974,12575.48218,12391.00991,184.4722721,,224343.1674,1354202.024,158356.9824,,127891.4603,7015.312534,23450.20955,133172.4524,133172.4524
1998,2945257.387,1315772.397,1629484.99,,,969468.6306,70702.55344,888263.927,,10502.15018,,5775039.269,4204994.879,16170.46307,3194.489432,,273.0867922,,2921.40264,12975.97364,12789.29793,186.6757076,,224673.4321,1329200.496,160664.1398,,130427.2456,7210.108113,23026.78605,126711.4767,126711.4767
1999,2937132.019,1310658.727,1626473.292,,,973648.6721,70537.28273,892591.7597,,10519.62964,,5783349.334,4238157.706,20369.82421,3716.223226,,360.130835,,3356.092391,16653.60099,16467.87789,185.7230933,,223920.0344,1300901.77,163722.1549,,133224.4521,7534.387883,22963.31491,119288.9778,119288.9778
2000,2927831.723,1306656.154,1621175.568,,,974351.0263,69819.09397,894047.5453,,10484.38698,,5793131.184,4268301.367,26270.62815,6480.815622,1207.300278,504.8842914,,4768.631052,19789.81253,19604.17467,185.6378655,,222028.8658,1276530.324,165766.2497,,135087.3544,7770.105531,22908.78975,116061.569,116061.569
2001,2907488.75,1300319.118,1607169.633,,,975909.4874,69346.41826,896042.1292,,10520.93991,,5816834.971,4274848.704,33762.42466,12672.88641,5666.588245,526.6676207,,6479.630548,21089.53825,20910.54216,178.996085,,221260.9023,1286962.941,166551.2289,,136717.0184,7958.16496,21876.04555,110357.3142,110357.3142
2002,2894000.748,1299314.724,1594686.024,,,975827.5611,68973.52488,896370.5285,,10483.50769,,5827857.982,4254242.284,36253.81959,16058.82634,8595.902746,464.9653469,,6997.95825,20194.99325,20011.39966,183.5935916,,225562.3139,1311799.564,167038.9973,,138020.2476,8080.187823,20938.56193,112416.4638,112416.4638
2003,2870785.578,1284729.436,1586056.143,,,972423.4237,68431.80713,893517.0773,,10474.53923,,5854578.014,4220563.202,37181.87084,18036.23943,10058.92838,433.5871382,,7543.723909,19145.63141,18903.45678,242.1746281,,232869.9997,1363962.942,167714.1808,,139048.5643,8119.531945,20546.08462,111640.5548,111640.5548
2004,2840391.648,1274165.131,1566226.517,,,971657.5163,68230.58935,892935.3321,,10491.59484,,5867342.11,4209846.102,49020.24278,28287.15397,15529.24426,1405.899124,,11352.01059,20733.08881,20577.60796,155.4808444,,246725.1505,1361750.615,169873.5252,,140237.6005,8231.557704,21404.36695,127876.9521,127876.9521
2005,2832977.009,1274150.512,1558826.497,,,972769.1711,68175.78223,894107.1678,,10486.22112,,5871076.745,4229707.825,55744.11665,35567.94965,17412.96347,2808.547672,,15346.4385,20176.167,20033.98437,142.1826325,,257419.3971,1328205.406,171411.0025,,141347.8474,8504.404878,21558.75021,128907.7402,128907.7402
2006,2822337.873,1272814.93,1549522.943,,,970428.0744,68103.31258,891805.37,,10519.39185,,5882811.824,4267434.748,59737.46512,38757.76297,14833.31885,3583.980618,,20340.4635,20979.70215,20871.32151,108.3806473,,270442.8205,1285196.79,173624.5835,,142397.0758,9120.773803,22106.73384,127939.3132,127939.3132
