Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean",5.3. Aquaculture
1985,974429.305,40407.32888,929915.8491,72.63877955,4033.488233,33362.33765,12438.88964,16379.09181,1.143381665,,4543.212817,1464009.636,1004918.334,56750.9868,56750.9868,,56736.00337,,14.98342598,,,,,60.01763266,402280.2971,41960.52895,2671.578764,11852.25598,5.474547534,27431.21966,28069.03233,27984.77173,84.26060122
1986,974164.4734,39893.19373,930167.2645,83.72025294,4020.294868,29405.11842,11184.53887,13677.18056,1.759034473,0.440431848,4541.199525,1466490.499,1042744.367,58822.86936,58822.86936,,58799.95269,,22.91666617,,,,,58.43360233,364864.8292,41134.7052,2690.231333,13449.07097,7.146815521,24988.25608,30635.95589,30554.42166,81.53422902
1987,920232.2951,37241.34574,879103.3766,84.16005883,3803.412641,21595.06514,10178.18054,8043.850504,1.583126105,0.440431848,3371.010547,1526449.938,1148971.192,58688.80958,58688.80958,,58673.03255,,15.77703421,,,,,41.27400622,318748.662,43256.71276,2883.034693,14370.42661,11.8284045,25991.42305,30296.56523,30215.031,81.53422902
1988,894494.6399,35529.75731,855500.8538,97.00027614,3367.028544,19344.07868,9743.394137,6641.883053,1.49517207,0.088182971,2957.218139,1555162.102,1210262.94,58974.5829,58974.5829,,58961.18613,,13.39677038,,,,,1.407805042,285923.1721,41639.82263,3317.527206,14979.65872,13.67562013,23328.96108,31190.28385,31108.92553,81.3583202
1989,945490.5043,33402.91501,908860.1417,102.0131103,3125.434523,13446.94793,9132.928446,2041.971053,1.671064221,0.528600323,2269.848764,1514295.128,1244315.138,58859.94721,58859.94721,,58859.94721,,,,,,,1.143793616,211118.8994,36941.80617,3679.134668,16400.71872,13.93702175,16848.01576,31656.54084,31575.53434,81.0065011
1990,931656.1672,28887.75531,899896.0319,96.29651837,2776.083517,12111.64696,8899.768382,1639.437923,1.93493288,2.90944624,1567.596271,1528079.613,1299287.103,59068.29589,59068.29589,,59068.29589,,,,,,,,169724.2136,38198.95727,3917.062958,17327.734,14.37676164,16939.78356,31784.63129,31705.55984,79.07144962
1991,871673.6616,25364.30657,843948.0185,83.89639875,2277.44011,10544.15291,8182.875916,1223.765836,2.286687207,0.440431848,1134.784035,1585493.634,1362129.491,59338.64547,59338.64547,,59335.65047,,2.994995947,,,,,,164025.4975,41264.06961,4221.31958,17880.95107,12.86709348,19148.93186,32855.49708,32776.68949,78.80758937
1992,830595.4578,26711.65544,801768.7788,84.95396287,2030.0696,10583.65932,8248.964023,1284.103852,2.286649188,,1048.304793,1624037.574,1402035.383,59136.39355,59136.39355,,59135.77691,,0.616640338,,,,,,162865.7982,43279.35842,4333.127244,18293.89531,16.842426,20635.49344,33334.96561,33256.07007,78.89554459
1993,807182.5061,27748.30964,777284.5216,85.30671273,2064.368108,11609.44851,8312.51539,2395.281921,1.934875323,0.617848938,899.0984794,1639391.48,1431646.337,58089.68469,58089.68469,,58089.68469,,,,,,,,149655.4591,50191.86901,4276.757881,18709.35605,19.1493243,27186.60575,33455.71144,33455.71144,
1994,840549.2649,27205.68933,811193.8147,84.60344667,2065.157459,13044.8453,8433.901446,3450.649403,1.231256226,,1159.063197,1607333.635,1413916.755,57431.52905,57431.52905,,57431.52905,,,,,,,,135985.3507,48009.147,4144.374214,19019.85132,19.7678057,24825.15366,32894.12314,32894.12314,
1995,862674.926,27947.77446,832553.2941,85.21924186,2088.638189,13138.74052,9140.808406,2849.073266,0.439760809,,1148.41909,1592698.469,1401243.654,57247.8236,57247.8236,,57246.8546,,0.968999506,,,,,,134206.9918,43246.43852,4043.119436,19500.43433,19.8600068,19683.02475,30072.35306,30072.35306,
1996,865523.9577,29359.12932,834106.819,91.55128405,1966.458056,12020.5953,8479.087583,2389.044217,,,1152.463497,1594017.178,1400202.914,57697.49834,57697.49834,,57696.52934,,0.968999506,,,,,,136116.7662,37816.18263,3843.889189,19901.88865,16.24933711,14054.15545,32453.01365,32453.01365,
1997,839416.2522,29874.36761,807513.4345,106.9401245,1921.509956,11553.26071,8623.295431,1829.491375,0.08794212,0.264269568,1100.121689,1625167.176,1427068.636,57707.18641,57707.18641,,57706.21741,,0.968999506,,,,,,140391.3539,34380.34909,3388.901289,20222.47294,11.74876553,10757.22609,31313.88898,31313.88898,
1998,757433.7887,27713.19957,727670.6794,115.0301353,1934.879609,11237.02915,9005.758218,1018.018114,0.08794212,0.441398163,1212.723483,1704094.092,1515804.968,57623.02801,57623.02801,,57622.23519,,0.792817627,,,,,,130666.0964,38887.54982,3318.284137,20714.06671,9.459285974,14845.73969,30178.11555,30178.11555,
1999,743151.2689,25993.35171,715043.5178,112.7438066,2001.655565,11448.17936,8893.987768,1274.338018,0.08794212,3.172265955,1276.593366,1716170.719,1526929.703,57807.99822,57807.99822,,57807.99822,,,,,,,,131433.0176,40008.80898,3251.878048,21027.02099,11.93137684,15717.97856,31051.77577,31051.77577,
