Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean"
1985,24533482.63,1689465.19,22844017.44,,,5679056.025,239233.3331,5400707.507,,39115.18515,,9180814.578,5855350,382578.7,275033.379,55458.87755,74.40719675,,219500.0942,107545.321,97044.94759,10500.37345,,17913.7342,2924972.144,244225.8458,29418.22579,35062.28784,284.9063765,179460.4258,465601.4457,465601.4457
1986,24527355.71,1622003.63,22905352.08,,,5693947.886,238599.5761,5408085.588,,47262.72254,,9156396.419,5899601.583,383199.8453,275777.7251,55441.46997,73.96970982,,220262.2854,107422.1202,96942.54761,10479.57257,,17924.12778,2855670.864,254671.9594,29482.47129,40271.97954,414.634047,184502.8745,470808.7156,470808.7156
1987,24480829.41,1564092.794,22916736.61,,,5660370.059,237224.6567,5376870.728,,46274.67427,,9305742.26,6068902.01,447108.4222,366373.7658,92620.38133,70.85136085,,273682.5331,80734.65638,72357.55105,8377.105329,,18461.95463,2771269.873,254890.0108,29986.89078,41827.4782,581.0393217,182494.6025,401348.8704,401348.8704
1988,24052069.32,1496861.17,22555208.15,,,5605424.161,234645.249,5326287.793,,44491.11937,,9773618.152,6453221.421,502396.493,435939.8234,141376.6975,7.221077161,,294555.9048,66456.66958,58725.65425,7731.015333,,40288.59152,2777711.647,259428.2575,30282.15447,43360.07462,722.1578412,185063.8705,412640.6318,412640.6318
1989,23819876.86,1468229.25,22351647.61,,,5477479.379,232860.0405,5197163.329,,47456.00937,,10146498.45,6646652.477,617361.7316,558248.3027,197601.0798,6.51692901,,360640.7059,59113.42892,52471.97208,6641.45684,,41209.99339,2841274.249,266870.7177,29984.39897,45149.72035,844.9659392,190891.6325,392455.1125,392455.1125
1990,23650843.8,1462619.387,22188224.42,,,5410721.334,231786.2147,5139848.634,,39086.48508,,10280755.66,6770940.36,650426.4974,601304.3713,213428.694,10.03216543,,387865.6452,49122.1261,41362.91627,7759.209828,,50584.32105,2808804.486,278382.0204,30198.92187,47109.32334,900.1122503,200173.663,482477.613,482477.613
1991,23677551.41,1454854.71,22222696.7,,,5318970.298,230492.4256,5039602.655,,48875.21744,,10352071.96,6778900.07,696010.122,656416.6711,244520.8977,27.54957059,,411868.2238,39593.45081,30892.09788,8701.352927,,115786.3325,2761375.435,270789.0015,29749.24768,48801.21994,911.2133746,191327.3205,483797.7665,483797.7665
1992,23705252.64,1443892.518,22261360.12,,,5328881.314,229044.7805,5052725.026,,47111.50662,,10289791.5,6741834.196,743809.1206,702417.181,274690.2367,26.16730765,,427700.777,41391.93961,30904.7838,10487.15582,,127561.9462,2676586.239,277754.8355,30134.33051,50565.34502,884.7516938,196170.4082,501500.1498,501500.1498
1993,23723680.37,1433702.372,22289978,,,5348528.944,229018.382,5086881.914,,32628.64805,,10258075.51,6736661.495,811087.1043,765180.1446,346616.4664,21.4491236,,418542.229,45906.95971,35090.33208,10816.62763,,126993.4941,2583333.415,277280.2676,30614.96796,51926.14996,873.1984674,193865.9512,495615.3415,495615.3415
1994,23529545.05,1397768.551,22131776.5,,,5387242.998,229587.7581,5116667.519,,40987.7203,,10429003.51,6845463.788,861896.9619,811412.2557,397975.9674,6.875693671,,413429.4127,50484.70611,38075.09565,12409.61046,,136679.203,2584963.557,275334.9394,30402.47911,53334.65715,856.7349439,190741.0682,482054.0251,482054.0251
