Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean",5.3. Aquaculture
1985,35270926.83,3454295.656,31812525.05,72.63877955,4033.488233,7899201.093,336574.5872,7496998.962,1.143381665,61083.18809,4543.212817,19222000.1,12082718.25,491821.906,345790.3599,55458.87755,64719.58265,,225611.8997,146031.5461,118276.5963,27754.94977,,100082.1718,6547377.778,504302.7496,32089.80455,163529.035,4471.098346,304212.8117,724548.5063,724464.2457,84.26060122
1986,35284599.22,3336330.157,31944165.05,83.72025294,4020.294868,7914191.923,331572.1019,7509285.362,1.759034473,68791.50086,4541.199525,19168201.26,12191313.38,495598.0399,349465.3705,55441.46997,66803.73157,,227220.169,146132.6693,118127.6477,28005.02161,,99633.33119,6381656.51,521493.6822,32172.70262,179935.3346,5842.812308,303542.8327,732494.0395,732412.5053,81.53422902
1987,35138475.97,3244721.961,31889866.43,84.16005883,3803.412641,7853777.874,326561.4962,7451609.026,1.583126105,72234.75851,3371.010547,19461966.86,12630995.27,551912.6741,440741.5653,92627.66712,67151.28779,,280962.6104,111171.1088,87438.92083,23732.18798,,105893.5092,6173165.404,523586.4635,32869.92547,185192.1404,6450.73635,299073.6613,643172.7885,643091.2542,81.53422902
1988,34607719.74,3120730.518,31483525.2,97.00027614,3367.028544,7805637.473,322011.6665,7410511.473,1.49517207,70155.62037,2957.218139,19966572.25,13258681.03,600904.7022,509718.293,141385.0004,67530.75186,,300802.5407,91186.40916,70818.43001,20367.97915,,159613.708,5947372.809,533215.7156,33599.68168,191270.001,6929.919256,301416.1137,707835.0335,707753.6752,81.3583202
1989,34293442.14,3065828.192,31224386.5,102.0131103,3125.434523,7695024.639,318196.1073,7305971.561,1.671064221,68585.45098,2269.848764,20381895.97,13592375.28,718138.0153,633204.4569,197613.8807,67848.45414,,367742.1221,84933.55834,63949.54168,20984.01666,,162596.8405,5908785.829,556095.7226,33663.53364,198763.9546,7366.562714,316301.6717,694521.661,694440.6545,81.0065011
1990,34030531.88,3040282.41,30987377.08,96.29651837,2776.083517,7455033.705,316181.3412,7079947.798,1.93493288,57335.03429,1567.596271,20768660.96,13913950.04,751436.1427,676946.4545,213448.524,68620.21466,,394877.7158,74489.68827,51448.20441,23041.48386,,177953.089,5925321.697,580126.1071,34115.98483,205943.068,7493.076941,332573.9774,786627.4782,786548.4068,79.07144962
1991,33915371.54,3011456.527,30901553.68,83.89639875,2277.44011,7358294.205,313555.6031,6976180.442,2.286687207,67421.08896,1134.784035,20962142.75,14109334.12,798545.7836,732356.6937,244541.7722,69204.63492,,418610.2866,66189.08989,40459.84615,25729.24374,,276633.5398,5777629.302,577056.0999,33970.56726,211479.2634,7564.555328,324041.714,808115.3644,808036.5568,78.80758937
1992,33858012.25,2982564.129,30873333.09,84.95396287,2030.0696,7430575.61,311505.9692,7050949.326,2.286649188,67069.7236,1048.304793,20910294.5,14200558.24,851352.2206,780127.0418,274703.7453,70158.30684,,435264.9896,71225.17883,39834.27613,31390.9027,,297012.0149,5561372.029,594139.8099,34467.45776,217826.8634,7955.896283,333889.5925,827957.7058,827878.8103,78.89554459
1993,33745426.56,2946730.517,30796546.37,85.30671273,2064.368108,7502906.811,311064.4047,7138992.165,1.934875323,51949.20735,899.0984794,20951274.29,14335502.95,925382.5282,843346.4242,346623.2752,69902.53246,,426820.6166,82036.10396,44452.39122,37583.71273,,319589.6295,5370799.183,608270.0424,34891.72585,222319.3514,8332.398538,342726.5666,813102.252,813102.252,
1994,33584490.59,2901443.996,30680896.84,84.60344667,2065.157459,7578427.855,311147.8384,7205218.319,1.231256226,60901.40308,1159.063197,21056959.9,14461646.57,981766.8026,891189.6994,397984.6412,70524.75041,,422680.3078,90577.10319,47916.97126,42660.13193,,340065.9159,5273480.61,603583.6251,34546.85332,226169.5721,8544.011064,334323.1887,797518.1563,797518.1563,
