Ano,Pivô central,Outros sistemas
1985,2467,467
1986,2573,312
1987,5230,319
1988,6652,198
1989,7580,148
1990,9337,129
1991,9676,216
1992,10014,222
1993,10359,200
1994,10607,102
1995,11300,41
1996,11577,19
1997,11780,18
1998,12512,19
1999,14186,14
2000,15209,19
2001,16506,302
2002,16995,347
2003,19278,391
2004,21183,169
2005,22995,151
2006,23389,144
2007,23793,127
2008,24894,110
2009,25639,116
2010,26641,185
2011,28698,184
2012,29924,739
2013,31999,800
2014,34228,1060
2015,36407,1323
2016,37553,1662
2017,38490,3012
2018,42541,2621
2019,44623,3614
2020,45915,3558
