Ano,Pivô central,Outros sistemas
1985,11141,13706
1986,13296,13629
1987,20545,10899
1988,30149,9413
1989,38716,7989
1990,49538,8647
1991,61861,9362
1992,76954,10686
1993,90311,10681
1994,101315,11877
1995,108478,13881
1996,110857,14925
1997,113952,16982
1998,121787,17588
1999,128911,22810
2000,136203,25248
2001,142151,31411
2002,147895,34034
2003,156183,43904
2004,170691,61436
2005,181187,62462
2006,186963,64516
2007,191791,66438
2008,198012,85606
2009,206808,93270
2010,215288,89488
2011,226536,82805
2012,243932,73766
2013,275257,75828
2014,297827,49229
2015,322851,46351
2016,344919,44720
2017,367874,44920
2018,384467,47758
2019,404849,69402
2020,420070,69535
