Ano,Pivô central,Outros sistemas
1985,14887,42947
1986,17007,42591
1987,27206,37641
1988,39166,31845
1989,49145,32510
1990,62133,33680
1991,75345,36172
1992,90885,41523
1993,104796,45452
1994,116133,50070
1995,124253,53588
1996,126832,56330
1997,130039,59901
1998,138567,63083
1999,146950,74928
2000,154692,82465
2001,161510,95547
2002,167356,100482
2003,177887,115299
2004,194282,133909
2005,206538,137811
2006,212787,140091
2007,218031,142270
2008,225127,159574
2009,234678,166857
2010,244104,164479
2011,257477,162060
2012,276148,159134
2013,309679,165060
2014,334393,145038
2015,361541,149660
2016,384561,152198
2017,408421,154303
2018,429118,156650
2019,451612,181273
