Ano,Pivô central,Outros sistemas
1985,1118,28773
1986,1136,28650
1987,1430,26422
1988,2364,22233
1989,2847,24373
1990,3257,24904
1991,3808,26593
1992,3917,30615
1993,4125,34571
1994,4210,38089
1995,4474,39665
1996,4397,41384
1997,4306,42900
1998,4180,45475
1999,3714,52103
2000,3139,57197
2001,2711,63833
2002,2280,66100
2003,2244,71003
2004,2227,72303
2005,2176,75198
2006,2257,75430
2007,2271,75705
2008,2045,73857
2009,2053,73470
2010,1942,74805
2011,1982,79070
2012,2029,84627
2013,2154,88431
2014,2063,94748
2015,2001,101984
2016,1813,105815
2017,1780,106370
2018,1840,106270
2019,1787,108257
2020,2086,108191
