code,name,year,area_ha
10626,Baixo São Francisco,1985,26525.425727665468
10627,Submédio São Francisco,1985,88071.82775644526
10628,Médio São Francisco,1985,457951.8217651516
10629,Alto São Francisco,1985,164464.91462077788
10626,Baixo São Francisco,1986,29254.600546569145
10627,Submédio São Francisco,1986,91491.67271746424
10628,Médio São Francisco,1986,489445.8757515304
10629,Alto São Francisco,1986,160812.4792964111
10626,Baixo São Francisco,1987,30912.939631874317
10627,Submédio São Francisco,1987,90542.84178438027
10628,Médio São Francisco,1987,402117.2239506771
10629,Alto São Francisco,1987,143462.44421647768
10626,Baixo São Francisco,1988,31436.95948349591
10627,Submédio São Francisco,1988,145190.24654848318
10628,Médio São Francisco,1988,437372.6453409115
10629,Alto São Francisco,1988,143837.7064735023
10626,Baixo São Francisco,1989,32180.900129164995
10627,Submédio São Francisco,1989,148978.55300510587
10628,Médio São Francisco,1989,397391.9884010318
10629,Alto São Francisco,1989,136452.22350557422
10626,Baixo São Francisco,1990,32436.129846169533
10627,Submédio São Francisco,1990,151315.96997626254
10628,Médio São Francisco,1990,504548.0814705664
10629,Alto São Francisco,1990,143354.74897862284
10626,Baixo São Francisco,1991,33528.52585881847
10627,Submédio São Francisco,1991,149886.37595010048
10628,Médio São Francisco,1991,498272.0342115058
10629,Alto São Francisco,1991,165766.93517675385
10626,Baixo São Francisco,1992,33669.67499036104
10627,Submédio São Francisco,1992,149764.01381462664
10628,Médio São Francisco,1992,519353.139159191
10629,Alto São Francisco,1992,166717.24303807426
10626,Baixo São Francisco,1993,33731.44149539084
10627,Submédio São Francisco,1993,142322.53997900328
10628,Médio São Francisco,1993,504673.0510686539
10629,Alto São Francisco,1993,165723.45158828146
10626,Baixo São Francisco,1994,33126.224297633955
10627,Submédio São Francisco,1994,144487.80780057452
10628,Médio São Francisco,1994,489154.1360750644
10629,Alto São Francisco,1994,162111.48987090006
10626,Baixo São Francisco,1995,30082.262770332607
10627,Submédio São Francisco,1995,144612.99917039837
10628,Médio São Francisco,1995,422197.3045832559
10629,Alto São Francisco,1995,159952.90907130542
10626,Baixo São Francisco,1996,32887.652949785384
10627,Submédio São Francisco,1996,144460.5055374899
10628,Médio São Francisco,1996,398478.489582016
10629,Alto São Francisco,1996,148673.8339312073
10626,Baixo São Francisco,1997,31496.808565128747
10627,Submédio São Francisco,1997,145124.44638890235
10628,Médio São Francisco,1997,480482.0603410708
10629,Alto São Francisco,1997,161447.86811442117
10626,Baixo São Francisco,1998,30135.186445364507
10627,Submédio São Francisco,1998,139226.02044682598
10628,Médio São Francisco,1998,420564.8388832407
10629,Alto São Francisco,1998,154178.74962521848
10626,Baixo São Francisco,1999,31459.98312629392
10627,Submédio São Francisco,1999,143690.6708078797
10628,Médio São Francisco,1999,407228.375772305
10629,Alto São Francisco,1999,145520.92906421787
10626,Baixo São Francisco,2000,27080.93583946181
10627,Submédio São Francisco,2000,137613.35831867336
10628,Médio São Francisco,2000,375524.68823286856
10629,Alto São Francisco,2000,132203.42715187854
10626,Baixo São Francisco,2001,26226.396325602476
10627,Submédio São Francisco,2001,131769.4728480456
10628,Médio São Francisco,2001,331158.2163828424
10629,Alto São Francisco,2001,106771.55987578552
10626,Baixo São Francisco,2002,27870.912013838464
10627,Submédio São Francisco,2002,151046.12142941626
10628,Médio São Francisco,2002,377856.1278206253
10629,Alto São Francisco,2002,125684.94654883078
10626,Baixo São Francisco,2003,26921.66603037453
10627,Submédio São Francisco,2003,140110.5601240797
10628,Médio São Francisco,2003,361106.9163064808
10629,Alto São Francisco,2003,119440.11293208104
10626,Baixo São Francisco,2004,30652.109108359065
10627,Submédio São Francisco,2004,166820.12451773876
10628,Médio São Francisco,2004,468270.7978361599
10629,Alto São Francisco,2004,140172.72515774323
10626,Baixo São Francisco,2005,30685.0551298788
10627,Submédio São Francisco,2005,159269.87833451657
10628,Médio São Francisco,2005,459691.5719116521
10629,Alto São Francisco,2005,144108.28059204985
10626,Baixo São Francisco,2006,29844.52311352383
10627,Submédio São Francisco,2006,154231.12883297278
10628,Médio São Francisco,2006,466456.0209344617
10629,Alto São Francisco,2006,141918.54145877133
10626,Baixo São Francisco,2007,30813.8658758579
10627,Submédio São Francisco,2007,156567.08818708005
10628,Médio São Francisco,2007,462745.2616347387
10629,Alto São Francisco,2007,144574.8649874836
10626,Baixo São Francisco,2008,30339.854609193782
10627,Submédio São Francisco,2008,160357.44193181602
10628,Médio São Francisco,2008,401635.2937280339
10629,Alto São Francisco,2008,143007.89823864464
10626,Baixo São Francisco,2009,30238.615504779907
10627,Submédio São Francisco,2009,155650.14600492865
10628,Médio São Francisco,2009,456106.79286517575
10629,Alto São Francisco,2009,143612.20657655565
10626,Baixo São Francisco,2010,28584.75244788745
10627,Submédio São Francisco,2010,149411.11495974677
10628,Médio São Francisco,2010,437993.60317378666
10629,Alto São Francisco,2010,132008.59404552984
10626,Baixo São Francisco,2011,26906.290548876343
10627,Submédio São Francisco,2011,145217.6975633339
10628,Médio São Francisco,2011,428696.1631977437
