code,name,date,area_ha
10626,Baixo São Francisco,1/1985,28906.0338952218
10627,Submédio São Francisco,1/1985,87858.77446056303
10628,Médio São Francisco,1/1985,452636.540460635
10629,Alto São Francisco,1/1985,137423.33753233598
10626,Baixo São Francisco,2/1985,28871.373444452514
10627,Submédio São Francisco,2/1985,87421.58709541582
10628,Médio São Francisco,2/1985,452927.740360096
10629,Alto São Francisco,2/1985,163687.58565437156
10626,Baixo São Francisco,3/1985,28367.712546866213
10627,Submédio São Francisco,3/1985,73523.93725967804
10628,Médio São Francisco,3/1985,511661.2105772012
10629,Alto São Francisco,3/1985,163265.17289387283
10626,Baixo São Francisco,4/1985,19129.609218139107
10627,Submédio São Francisco,4/1985,89535.47617537293
10628,Médio São Francisco,4/1985,512383.6267489344
10629,Alto São Francisco,4/1985,140024.95100950208
10626,Baixo São Francisco,5/1985,28357.38609864602
10627,Submédio São Francisco,5/1985,94913.03065584882
10628,Médio São Francisco,5/1985,523313.1345700644
10629,Alto São Francisco,5/1985,166213.40345078902
10626,Baixo São Francisco,6/1985,24510.166226135872
10627,Submédio São Francisco,6/1985,91374.27980304528
10628,Médio São Francisco,6/1985,465686.0433550753
10629,Alto São Francisco,6/1985,162740.98821654913
10626,Baixo São Francisco,7/1985,18581.156168605157
10627,Submédio São Francisco,7/1985,84558.53200075428
10628,Médio São Francisco,7/1985,501417.1679838384
10629,Alto São Francisco,7/1985,166890.31836183713
10626,Baixo São Francisco,8/1985,21088.71335460913
10627,Submédio São Francisco,8/1985,96785.38622045524
10628,Médio São Francisco,8/1985,505804.1106754148
10629,Alto São Francisco,8/1985,167135.7451304922
10626,Baixo São Francisco,9/1985,27872.660509772035
10627,Submédio São Francisco,9/1985,97999.02429644
10628,Médio São Francisco,9/1985,502290.724193144
10629,Alto São Francisco,9/1985,164130.41999879593
10626,Baixo São Francisco,10/1985,27786.239446065065
10627,Submédio São Francisco,10/1985,99617.4508973103
10628,Médio São Francisco,10/1985,456447.4442539826
10629,Alto São Francisco,10/1985,139116.60977196269
10626,Baixo São Francisco,11/1985,29675.55621178526
10627,Submédio São Francisco,11/1985,90547.0440235188
10628,Médio São Francisco,11/1985,401653.9062380308
10629,Alto São Francisco,11/1985,130456.90037883222
10626,Baixo São Francisco,12/1985,27508.18015622271
10627,Submédio São Francisco,12/1985,85838.1979743417
10628,Médio São Francisco,12/1985,409237.7110936368
10629,Alto São Francisco,12/1985,133053.37926302743
10626,Baixo São Francisco,1/1986,29063.543594402174
10627,Submédio São Francisco,1/1986,91184.27117261157
10628,Médio São Francisco,1/1986,479098.4466962144
10629,Alto São Francisco,1/1986,136339.63458919045
10626,Baixo São Francisco,2/1986,27462.141469587004
10627,Submédio São Francisco,2/1986,92550.24284377032
10628,Médio São Francisco,2/1986,463720.7257029858
10629,Alto São Francisco,2/1986,157132.3185012359
10626,Baixo São Francisco,3/1986,27423.69576837553
10627,Submédio São Francisco,3/1986,77521.50045790072
10628,Médio São Francisco,3/1986,496607.5796696028
10629,Alto São Francisco,3/1986,158796.0256033317
10626,Baixo São Francisco,4/1986,27785.565962773013
10627,Submédio São Francisco,4/1986,93082.32025715626
10628,Médio São Francisco,4/1986,491325.7425443909
10629,Alto São Francisco,4/1986,144157.56397516374
10626,Baixo São Francisco,5/1986,30375.985477829967
10627,Submédio São Francisco,5/1986,98839.31631702854
10628,Médio São Francisco,5/1986,505257.6311198176
10629,Alto São Francisco,5/1986,158824.39833902012
10626,Baixo São Francisco,6/1986,26718.62543045816
10627,Submédio São Francisco,6/1986,96502.27825495272
10628,Médio São Francisco,6/1986,495600.3779330318
10629,Alto São Francisco,6/1986,155756.2039014923
10626,Baixo São Francisco,7/1986,23824.94456374339
10627,Submédio São Francisco,7/1986,89615.66428991575
10628,Médio São Francisco,7/1986,499505.3021340117
10629,Alto São Francisco,7/1986,159467.74320117285
10626,Baixo São Francisco,8/1986,30018.07407898184
10627,Submédio São Francisco,8/1986,98309.85960603872
10628,Médio São Francisco,8/1986,500618.7935650858
10629,Alto São Francisco,8/1986,161295.927223379
10626,Baixo São Francisco,9/1986,29282.727054434406
10627,Submédio São Francisco,9/1986,97764.91780161354
10628,Médio São Francisco,9/1986,502022.3608760084
10629,Alto São Francisco,9/1986,162048.45439969897
10626,Baixo São Francisco,10/1986,28481.461074154795
10627,Submédio São Francisco,10/1986,96842.74448083132
10628,Médio São Francisco,10/1986,477707.5898750165
10629,Alto São Francisco,10/1986,145419.985917847
